0,Entity,Category
1,Entity,Item
2,Entity,LineItem
3,Entity,Order
4,Entity,Cart
5,Entity,Product
6,Entity,CartItem
7,Entity,Account
8,Entity,Sequence
9,Method,getCategoryList,CategoryMapper
10,Method,getCategory,CategoryMapper
11,Method,getProductListByCategory,ProductMapper
12,Method,getProduct,ProductMapper
13,Method,searchProductList,ProductMapper
14,Method,getOrdersByUsername,OrderMapper
15,Method,getOrder,OrderMapper
16,Method,insertOrder,OrderMapper
17,Method,insertOrderStatus,OrderMapper
18,Method,getAccountByUsername,AccountMapper
19,Method,getAccountByUsernameAndPassword,AccountMapper
20,Method,insertAccount,AccountMapper
21,Method,insertProfile,AccountMapper
22,Method,insertSignon,AccountMapper
23,Method,updateAccount,AccountMapper
24,Method,updateProfile,AccountMapper
25,Method,updateSignon,AccountMapper
26,Method,getSequence,SequenceMapper
27,Method,updateSequence,SequenceMapper
28,Method,getLineItemsByOrderId,LineItemMapper
29,Method,insertLineItem,LineItemMapper
30,Method,updateInventoryQuantity,ItemMapper
31,Method,getInventoryQuantity,ItemMapper
32,Method,getItemListByProduct,ItemMapper
33,Method,getItem,ItemMapper
34,Method,getCategoryList,CatalogService
35,Method,getCategory,CatalogService
36,Method,getProduct,CatalogService
37,Method,getProductListByCategory,CatalogService
38,Method,searchProductList,CatalogService
39,Method,getItemListByProduct,CatalogService
40,Method,getItem,CatalogService
41,Method,isItemInStock,CatalogService
42,Method,getAccount,AccountService
43,Method,insertAccount,AccountService
44,Method,updateAccount,AccountService
45,Method,insertOrder,OrderService
46,Method,getOrder,OrderService
47,Method,getOrdersByUsername,OrderService
48,Method,getNextId,OrderService
49,Method,getCart,CartActionBean
50,Method,setCart,CartActionBean
51,Method,setWorkingItemId,CartActionBean
52,Method,addItemToCart,CartActionBean
53,Method,removeItemFromCart,CartActionBean
54,Method,updateCartQuantities,CartActionBean
55,Method,viewCart,CartActionBean
56,Method,checkOut,CartActionBean
57,Method,clear,CartActionBean
58,Method,setMessage,AbstractActionBean
59,Method,getContext,AbstractActionBean
60,Method,setContext,AbstractActionBean
61,Method,getOrderId,OrderActionBean
62,Method,setOrderId,OrderActionBean
63,Method,getOrder,OrderActionBean
64,Method,setOrder,OrderActionBean
65,Method,isShippingAddressRequired,OrderActionBean
66,Method,setShippingAddressRequired,OrderActionBean
67,Method,isConfirmed,OrderActionBean
68,Method,setConfirmed,OrderActionBean
69,Method,getCreditCardTypes,OrderActionBean
70,Method,getOrderList,OrderActionBean
71,Method,listOrders,OrderActionBean
72,Method,newOrderForm,OrderActionBean
73,Method,newOrder,OrderActionBean
74,Method,viewOrder,OrderActionBean
75,Method,clear,OrderActionBean
76,Method,getKeyword,CatalogActionBean
77,Method,setKeyword,CatalogActionBean
78,Method,getCategoryId,CatalogActionBean
79,Method,setCategoryId,CatalogActionBean
80,Method,getProductId,CatalogActionBean
81,Method,setProductId,CatalogActionBean
82,Method,getItemId,CatalogActionBean
83,Method,setItemId,CatalogActionBean
84,Method,getCategory,CatalogActionBean
85,Method,setCategory,CatalogActionBean
86,Method,getProduct,CatalogActionBean
87,Method,setProduct,CatalogActionBean
88,Method,getItem,CatalogActionBean
89,Method,setItem,CatalogActionBean
90,Method,getCategoryList,CatalogActionBean
91,Method,setCategoryList,CatalogActionBean
92,Method,getProductList,CatalogActionBean
93,Method,setProductList,CatalogActionBean
94,Method,getItemList,CatalogActionBean
95,Method,setItemList,CatalogActionBean
96,Method,viewMain,CatalogActionBean
97,Method,viewCategory,CatalogActionBean
98,Method,viewProduct,CatalogActionBean
99,Method,viewItem,CatalogActionBean
100,Method,searchProducts,CatalogActionBean
101,Method,clear,CatalogActionBean
102,Method,getAccount,AccountActionBean
103,Method,getUsername,AccountActionBean
104,Method,setUsername,AccountActionBean
105,Method,getPassword,AccountActionBean
106,Method,setPassword,AccountActionBean
107,Method,getMyList,AccountActionBean
108,Method,setMyList,AccountActionBean
109,Method,getLanguages,AccountActionBean
110,Method,getCategories,AccountActionBean
111,Method,newAccountForm,AccountActionBean
112,Method,newAccount,AccountActionBean
113,Method,editAccountForm,AccountActionBean
114,Method,editAccount,AccountActionBean
115,Method,signonForm,AccountActionBean
116,Method,signon,AccountActionBean
117,Method,signoff,AccountActionBean
118,Method,isAuthenticated,AccountActionBean
119,Method,clear,AccountActionBean
